2,267768
3,363476
4,91236
5,92688
6,176224
7,93556
8,93532
9,92852
10,276368
11,93440
12,174732
13,193464
14,100848
15,93668
16,92560
17,88760
18,179688
19,86320
20,180488
21,95332
22,90184
23,90268
24,90372
25,94700
26,187252
27,279304
28,89400
29,549192
30,177640
31,94932
32,187208
33,283456
34,96140
35,559840
36,91556
37,87464
38,192284
39,94304
40,285088
41,102752
42,94152
43,93084
44,89344
45,95132
46,94580
47,92272
48,92192
49,175820
50,271432
51,363796
52,92940
53,96148
54,91060
55,192764
56,359612
57,271084
58,89364
59,93424
60,89740
61,90424
62,90020
63,94768
64,91812
65,177104
66,271352
67,93816
68,94984
69,94764
70,186224
71,93804
72,92672
73,88568
74,183628
75,92344
76,89372
77,87192
78,90924
79,191924
80,90556
81,188400
82,177856
83,87296
84,90444
85,89776
86,171348
87,95180
88,91736
89,92128
90,92308
91,88824
92,184264
93,275488
94,92488
95,91180
96,93596
97,90852
98,184344
99,95864
100,94660
101,89308
102,88832
103,275504
104,89608
105,94300
106,88356
107,183180
108,97180
109,94512
110,91316
111,87116
112,172640
113,88064
114,188280
115,182620
116,90912
117,186060
118,87444
119,95864
120,553684
121,96968
122,177908
123,179684
124,189440
125,102748
126,467224
127,89904
128,90656
129,269172
130,97164
131,88408
132,88764
133,91992
134,269468
135,191772
136,90744
137,89560
138,182804
139,90032
140,291656
141,93016
142,90596
143,96968
144,88324
145,360404
146,185000
147,91524
148,184804
149,726648
150,92744
151,184196
152,90536
153,178524
154,93556
155,89060
156,462584
157,93300
158,281008
159,92488
160,93396
161,183176
162,88336
163,95040
164,181360
165,445064
166,89304
167,91848
168,88996
169,94744
170,269044
171,87448
172,92408
173,94304
174,92372
175,89732
176,186604
177,93336
178,92272
179,92964
180,174432
181,184164
182,180084
183,90528
184,93260
185,91136
186,186576
187,89408
188,89424
189,182988
190,91708
191,94832
192,91396
193,739600
194,96820
195,95176
196,272864
197,93280
198,181332
199,189216
200,92648
201,93420
202,94408
203,181076
204,95220
205,91744
206,187364
207,89460
208,93992
209,97220
210,86724
211,272160
212,362384
213,446532
214,91740
215,92600
216,181408
217,177232
218,89980
219,89656
220,175056
221,85404
222,187100
223,92952
224,87992
225,367400
226,95000
227,87784
228,184012
229,180232
230,85040
231,86700
232,88076
233,176752
234,89824
235,90540
236,93720
237,92140
238,86236
239,94660
240,91284
241,189180
242,87476
243,269380
244,187368
245,178400
246,274088
247,90468
248,281072
249,193584
250,187648
251,389760
252,92176
253,88148
254,90448
255,93520
256,184400
257,93292
258,92748
259,93544
260,93080
261,87440
262,276272
263,91148
264,90308
265,89044
266,88776
267,275612
268,178320
269,277036
270,98700
271,92988
272,94980
273,91588
274,87388
275,93836
276,92088
277,88488
278,94436
279,92688
280,364532
281,375540
282,262856
283,90020
284,358904
285,187924
286,183168
287,93344
288,188000
289,282428
290,179600
291,89172
292,279120
293,97404
294,90784
295,180516
296,184964
297,89156
298,93824
299,87580
300,273204
301,368528
302,94032
303,181656
304,86640
305,172548
306,85284
307,89480
308,275148
309,88268
310,90424
311,473296
312,99144
313,93748
314,88780
315,91700
316,90624
317,458436
318,182128
319,90096
320,100180
321,93392
322,446672
323,88412
324,736600
325,95556
326,92488
327,179616
328,95884
329,751476
330,181188
331,95704
332,94308
333,88312
334,284384
335,92480
336,89736
337,93988
338,89732
339,180948
340,185756
341,826916
342,366000
343,92408
344,277864
345,95672
346,87288
347,93364
348,559124
349,88356
350,86632
351,95108
352,88324
353,87932
354,95512
355,92764
356,91196
357,86460
358,94824
359,177596
360,190536
361,560360
362,185908
363,92292
364,184528
365,91280
366,276012
367,183340
368,96756
369,100004
370,358332
371,274596
372,182228
373,274840
374,91120
375,192700
376,94636
377,87368
378,183136
379,266092
380,177740
381,90248
382,87100
383,90204
384,184288
385,268912
386,187636
387,447020
388,88232
389,180132
390,182200
391,93992
392,180100
393,277296
394,91936
395,457036
396,275184
397,91508
398,359504
399,90092
400,188128
401,181540
402,173356
403,93028
404,91288
405,269048
406,90092
407,89852
408,178488
409,91560
410,828280
411,364576
412,96636
413,96448
414,181764
415,91232
416,89432
417,180008
418,92212
419,89808
420,181920
421,88300
422,94748
423,91364
424,549924
425,268680
426,177272
427,179836
428,89824
429,91296
430,91656
431,90836
432,91084
433,93168
434,92076
435,182200
436,92808
437,548296
438,376328
439,179204
440,91936
441,92548
442,91608
443,178664
444,364948
445,97644
446,277036
447,89236
448,283132
449,89296
450,88436
451,91480
452,89424
453,92588
454,91648
455,185816
456,352788
457,281148
458,94696
459,89928
460,90204
461,185400
462,93796
463,87020
464,183496
465,173276
466,93992
467,89352
468,90116
469,93280
470,262060
471,266920
472,195524
473,195296
474,91100
475,92948
476,186472
477,89508
478,181308
479,364108
480,88988
481,88988
482,95068
483,96152
484,451044
485,89448
486,93016
487,85280
488,89388
489,92356
490,91320
491,89464
492,93828
493,91320
494,87692
495,90472
496,446244
497,192836
498,91824
499,90624
500,183548
501,93852
502,202560
503,93536
504,90844
505,188884
506,91424
507,529844
508,90388
509,456100
510,94452
511,275184
512,184768
513,88348
514,280956
515,96536
516,372160
517,187532
518,84232
519,363020
520,90936
521,87204
522,101160
523,91804
524,191936
525,89648
526,186092
527,189940
528,95576
529,186960
530,183172
531,93620
532,187460
533,88896
534,91164
535,550964
536,276560
537,91140
538,90648
539,187452
540,272452
541,91724
542,271384
543,88948
544,188416
545,191420
546,104656
547,94528
548,93148
549,90816
550,92212
551,96352
552,91232
553,185120
554,90596
555,97428
556,99252
557,90224
558,181480
559,90680
560,95376
561,89772
562,379696
563,89820
564,89184
565,92352
566,174260
567,94876
568,273228
569,183076
570,93964
571,92956
572,545816
573,297068
574,185480
575,175648
576,190636
577,96372
578,179128
579,93104
580,179344
581,96548
582,91768
583,273824
584,97804
585,179372
586,179428
587,187804
588,90576
589,86644
590,276328
591,191112
592,97008
593,91908
594,89192
595,89108
596,174824
597,180556
598,457836
599,179780
600,88496
601,87832
602,90376
603,87204
604,266032
605,92588
606,203452
607,186532
608,92352
609,98580
610,277428
611,91256
612,93068
613,95628
614,374768
615,88444
616,91968
617,89940
618,175480
619,91368
620,91936
621,88816
622,188228
623,91292
624,87436
625,94060
626,89960
627,182008
628,92124
629,263128
630,464252
631,90936
632,97972
633,91500
